,lat,long,Date,Timestamp
0,72.9000899,19.0774884,2018-01-31,17:21:54.049Z
1,72.9000899,19.0774884,2018-01-31,17:21:54.049Z
2,72.9000899,19.0774884,2018-01-31,17:21:54.049Z
6,72.871043,19.046146,2018-02-01,03:44:40.685Z
7,72.871043,19.046146,2018-02-01,03:44:40.685Z
8,72.871043,19.046146,2018-02-01,03:44:40.685Z
12,72.8748609,19.047134,2018-02-01,08:40:07.807Z
13,72.8748609,19.047134,2018-02-01,08:40:07.807Z
14,72.8748609,19.047134,2018-02-01,08:40:07.807Z
18,72.8711172,19.0503288,2018-02-01,09:20:42.821Z
19,72.8711172,19.0503288,2018-02-01,09:20:42.821Z
20,72.8711172,19.0503288,2018-02-01,09:20:42.821Z
24,72.8825627,19.063989799999998,2018-02-01,13:59:17.116Z
25,72.8825627,19.063989799999998,2018-02-01,13:59:17.116Z
26,72.8825627,19.063989799999998,2018-02-01,13:59:17.116Z
30,72.912466,19.0865914,2018-02-01,15:14:15.000Z
31,72.912466,19.0865914,2018-02-01,15:14:15.000Z
32,72.912466,19.0865914,2018-02-01,15:14:15.000Z
36,72.8998221,19.0730847,2018-02-01,15:52:07.532Z
37,72.8998221,19.0730847,2018-02-01,15:52:07.532Z
38,72.8998221,19.0730847,2018-02-01,15:52:07.532Z
42,72.9000899,19.0774884,2018-02-01,17:07:24.823Z
43,72.9000899,19.0774884,2018-02-01,17:07:24.823Z
44,72.9000899,19.0774884,2018-02-01,17:07:24.823Z
45,72.9000899,19.0774884,2018-02-01,17:07:24.823Z
46,72.9000899,19.0774884,2018-02-01,17:07:24.823Z
47,72.9000899,19.0774884,2018-02-01,17:07:24.823Z
51,72.8995453,19.0735074,2018-02-02,03:11:11.272Z
52,72.8995453,19.0735074,2018-02-02,03:11:11.272Z
53,72.8995453,19.0735074,2018-02-02,03:11:11.272Z
60,72.871043,19.046146,2018-02-02,04:01:51.095Z
61,72.871043,19.046146,2018-02-02,04:01:51.095Z
62,72.871043,19.046146,2018-02-02,04:01:51.095Z
69,72.871043,19.046146,2018-02-02,05:41:29.892Z
70,72.871043,19.046146,2018-02-02,05:41:29.892Z
71,72.871043,19.046146,2018-02-02,05:41:29.892Z
75,72.86484229999999,19.0441298,2018-02-02,12:58:49.345Z
76,72.86484229999999,19.0441298,2018-02-02,12:58:49.345Z
77,72.86484229999999,19.0441298,2018-02-02,12:58:49.345Z
81,72.871043,19.046146,2018-02-02,13:46:46.739Z
82,72.871043,19.046146,2018-02-02,13:46:46.739Z
83,72.871043,19.046146,2018-02-02,13:46:46.739Z
87,72.9000899,19.0774884,2018-02-02,15:04:56.260Z
88,72.9000899,19.0774884,2018-02-02,15:04:56.260Z
89,72.9000899,19.0774884,2018-02-02,15:04:56.260Z
93,72.8998221,19.0730847,2018-02-02,15:40:40.357Z
94,72.8998221,19.0730847,2018-02-02,15:40:40.357Z
95,72.8998221,19.0730847,2018-02-02,15:40:40.357Z
96,72.9000899,19.0774884,2018-02-02,17:00:55.637Z
97,72.9000899,19.0774884,2018-02-02,17:00:55.637Z
98,72.9000899,19.0774884,2018-02-02,17:00:55.637Z
99,72.9000899,19.0774884,2018-02-02,17:00:55.637Z
100,72.9000899,19.0774884,2018-02-02,17:00:55.637Z
101,72.9000899,19.0774884,2018-02-02,17:00:55.637Z
105,72.9014661,19.0793514,2018-02-03,00:47:33.928Z
106,72.9014661,19.0793514,2018-02-03,00:47:33.928Z
107,72.9014661,19.0793514,2018-02-03,00:47:33.928Z
111,72.9754684,19.1864587,2018-02-03,01:30:26.093Z
112,72.9754684,19.1864587,2018-02-03,01:30:26.093Z
113,72.9754684,19.1864587,2018-02-03,01:30:26.093Z
123,73.87255019999999,18.6217454,2018-02-03,05:21:00.538Z
124,73.87255019999999,18.6217454,2018-02-03,05:21:00.538Z
125,73.87255019999999,18.6217454,2018-02-03,05:21:00.538Z
132,73.91230159999999,18.5666211,2018-02-03,15:18:55.203Z
133,73.91230159999999,18.5666211,2018-02-03,15:18:55.203Z
134,73.91230159999999,18.5666211,2018-02-03,15:18:55.203Z
144,73.8782743,18.5707231,2018-02-03,16:29:29.761Z
145,73.8782743,18.5707231,2018-02-03,16:29:29.761Z
146,73.8782743,18.5707231,2018-02-03,16:29:29.761Z
150,73.87255019999999,18.6217454,2018-02-03,17:12:38.831Z
151,73.87255019999999,18.6217454,2018-02-03,17:12:38.831Z
152,73.87255019999999,18.6217454,2018-02-03,17:12:38.831Z
153,73.87255019999999,18.6217454,2018-02-03,17:12:38.831Z
154,73.87255019999999,18.6217454,2018-02-03,17:12:38.831Z
155,73.87255019999999,18.6217454,2018-02-03,17:12:38.831Z
159,73.8782743,18.5707231,2018-02-04,09:59:45.745Z
160,73.8782743,18.5707231,2018-02-04,09:59:45.745Z
161,73.8782743,18.5707231,2018-02-04,09:59:45.745Z
165,73.87255019999999,18.6217454,2018-02-04,10:40:02.466Z
166,73.87255019999999,18.6217454,2018-02-04,10:40:02.466Z
167,73.87255019999999,18.6217454,2018-02-04,10:40:02.466Z
168,73.87255019999999,18.6217454,2018-02-04,10:40:02.466Z
169,73.87255019999999,18.6217454,2018-02-04,10:40:02.466Z
170,73.87255019999999,18.6217454,2018-02-04,10:40:02.466Z
174,73.87255019999999,18.6217454,2018-02-05,01:00:04.136Z
175,73.87255019999999,18.6217454,2018-02-05,01:00:04.136Z
176,73.87255019999999,18.6217454,2018-02-05,01:00:04.136Z
180,73.87255019999999,18.6217454,2018-02-05,11:07:00.781Z
181,73.87255019999999,18.6217454,2018-02-05,11:07:00.781Z
182,73.87255019999999,18.6217454,2018-02-05,11:07:00.781Z
183,73.87255019999999,18.6217454,2018-02-05,11:07:00.781Z
184,73.87255019999999,18.6217454,2018-02-05,11:07:00.781Z
185,73.87255019999999,18.6217454,2018-02-05,11:07:00.781Z
189,73.8349224,18.5117398,2018-02-06,09:37:06.000Z
190,73.8349224,18.5117398,2018-02-06,09:37:06.000Z
191,73.8349224,18.5117398,2018-02-06,09:37:06.000Z
198,73.8210296,18.506369,2018-02-06,09:57:56.000Z
199,73.8210296,18.506369,2018-02-06,09:57:56.000Z
200,73.8210296,18.506369,2018-02-06,09:57:56.000Z
204,73.87255019999999,18.6217454,2018-02-06,12:17:30.938Z
205,73.87255019999999,18.6217454,2018-02-06,12:17:30.938Z
206,73.87255019999999,18.6217454,2018-02-06,12:17:30.938Z
207,73.87255019999999,18.6217454,2018-02-06,12:17:30.938Z
208,73.87255019999999,18.6217454,2018-02-06,12:17:30.938Z
209,73.87255019999999,18.6217454,2018-02-06,12:17:30.938Z
213,73.87255019999999,18.6217454,2018-02-07,16:22:29.808Z
214,73.87255019999999,18.6217454,2018-02-07,16:22:29.808Z
215,73.87255019999999,18.6217454,2018-02-07,16:22:29.808Z
216,73.87255019999999,18.6217454,2018-02-07,16:22:29.808Z
217,73.87255019999999,18.6217454,2018-02-07,16:22:29.808Z
218,73.87255019999999,18.6217454,2018-02-07,16:22:29.808Z
225,73.87255019999999,18.6217454,2018-02-08,01:10:49.059Z
226,73.87255019999999,18.6217454,2018-02-08,01:10:49.059Z
227,73.87255019999999,18.6217454,2018-02-08,01:10:49.059Z
231,73.8744212,18.5289037,2018-02-08,11:05:23.558Z
232,73.8744212,18.5289037,2018-02-08,11:05:23.558Z
233,73.8744212,18.5289037,2018-02-08,11:05:23.558Z
237,73.8720171,18.52808,2018-02-08,11:53:08.482Z
238,73.8720171,18.52808,2018-02-08,11:53:08.482Z
239,73.8720171,18.52808,2018-02-08,11:53:08.482Z
246,72.8998221,19.0730847,2018-02-08,15:56:57.924Z
247,72.8998221,19.0730847,2018-02-08,15:56:57.924Z
248,72.8998221,19.0730847,2018-02-08,15:56:57.924Z
252,72.9000899,19.0774884,2018-02-08,16:53:19.412Z
253,72.9000899,19.0774884,2018-02-08,16:53:19.412Z
254,72.9000899,19.0774884,2018-02-08,16:53:19.412Z
255,72.9000899,19.0774884,2018-02-08,16:53:19.412Z
256,72.9000899,19.0774884,2018-02-08,16:53:19.412Z
257,72.9000899,19.0774884,2018-02-08,16:53:19.412Z
264,72.8714864,19.0507231,2018-02-09,03:38:14.981Z
265,72.8714864,19.0507231,2018-02-09,03:38:14.981Z
266,72.8714864,19.0507231,2018-02-09,03:38:14.981Z
270,72.871043,19.046146,2018-02-09,04:21:28.201Z
271,72.871043,19.046146,2018-02-09,04:21:28.201Z
272,72.871043,19.046146,2018-02-09,04:21:28.201Z
276,72.8711172,19.0503288,2018-02-09,10:13:27.685Z
277,72.8711172,19.0503288,2018-02-09,10:13:27.685Z
278,72.8711172,19.0503288,2018-02-09,10:13:27.685Z
282,72.871043,19.046146,2018-02-09,11:20:44.760Z
283,72.871043,19.046146,2018-02-09,11:20:44.760Z
284,72.871043,19.046146,2018-02-09,11:20:44.760Z
288,72.86484229999999,19.0441298,2018-02-09,13:48:07.121Z
289,72.86484229999999,19.0441298,2018-02-09,13:48:07.121Z
290,72.86484229999999,19.0441298,2018-02-09,13:48:07.121Z
294,72.9000899,19.0774884,2018-02-09,15:08:20.809Z
295,72.9000899,19.0774884,2018-02-09,15:08:20.809Z
296,72.9000899,19.0774884,2018-02-09,15:08:20.809Z
300,72.8995453,19.0735074,2018-02-09,15:50:46.549Z
301,72.8995453,19.0735074,2018-02-09,15:50:46.549Z
302,72.8995453,19.0735074,2018-02-09,15:50:46.549Z
306,72.9000899,19.0774884,2018-02-09,16:01:17.000Z
307,72.9000899,19.0774884,2018-02-09,16:01:17.000Z
308,72.9000899,19.0774884,2018-02-09,16:01:17.000Z
312,72.8920193,19.069492399999998,2018-02-09,16:45:12.914Z
313,72.8920193,19.069492399999998,2018-02-09,16:45:12.914Z
314,72.8920193,19.069492399999998,2018-02-09,16:45:12.914Z
376,72.9000899,19.0774884,2018-02-10,10:56:29.071Z
377,72.9000899,19.0774884,2018-02-10,10:56:29.071Z
378,72.9000899,19.0774884,2018-02-10,10:56:29.071Z
382,72.8978032,19.0728088,2018-02-11,06:56:13.469Z
383,72.8978032,19.0728088,2018-02-11,06:56:13.469Z
384,72.8978032,19.0728088,2018-02-11,06:56:13.469Z
388,72.9000899,19.0774884,2018-02-11,07:33:24.317Z
389,72.9000899,19.0774884,2018-02-11,07:33:24.317Z
390,72.9000899,19.0774884,2018-02-11,07:33:24.317Z
395,72.9000899,19.0774884,2018-02-11,07:33:24.317Z
396,72.9000899,19.0774884,2018-02-11,07:33:24.317Z
397,72.9000899,19.0774884,2018-02-11,07:33:24.317Z
404,72.8748609,19.047134,2018-02-12,02:42:09.151Z
405,72.8748609,19.047134,2018-02-12,02:42:09.151Z
406,72.8748609,19.047134,2018-02-12,02:42:09.151Z
410,72.871043,19.046146,2018-02-12,04:01:57.995Z
411,72.871043,19.046146,2018-02-12,04:01:57.995Z
412,72.871043,19.046146,2018-02-12,04:01:57.995Z
416,72.871043,19.046146,2018-02-12,11:37:45.791Z
417,72.871043,19.046146,2018-02-12,11:37:45.791Z
418,72.871043,19.046146,2018-02-12,11:37:45.791Z
422,72.9000899,19.0774884,2018-02-12,13:26:51.813Z
423,72.9000899,19.0774884,2018-02-12,13:26:51.813Z
424,72.9000899,19.0774884,2018-02-12,13:26:51.813Z
428,72.9014661,19.0793514,2018-02-12,14:37:38.964Z
429,72.9014661,19.0793514,2018-02-12,14:37:38.964Z
430,72.9014661,19.0793514,2018-02-12,14:37:38.964Z
434,72.8998221,19.0730847,2018-02-12,15:40:46.977Z
435,72.8998221,19.0730847,2018-02-12,15:40:46.977Z
436,72.8998221,19.0730847,2018-02-12,15:40:46.977Z
440,72.9000899,19.0774884,2018-02-12,17:07:08.609Z
441,72.9000899,19.0774884,2018-02-12,17:07:08.609Z
442,72.9000899,19.0774884,2018-02-12,17:07:08.609Z
447,72.9000899,19.0774884,2018-02-12,17:07:08.609Z
448,72.9000899,19.0774884,2018-02-12,17:07:08.609Z
449,72.9000899,19.0774884,2018-02-12,17:07:08.609Z
453,72.9000899,19.0774884,2018-02-13,04:27:08.928Z
454,72.9000899,19.0774884,2018-02-13,04:27:08.928Z
455,72.9000899,19.0774884,2018-02-13,04:27:08.928Z
459,72.8998221,19.0730847,2018-02-13,15:35:40.923Z
460,72.8998221,19.0730847,2018-02-13,15:35:40.923Z
461,72.8998221,19.0730847,2018-02-13,15:35:40.923Z
465,72.9000899,19.0774884,2018-02-13,17:06:33.000Z
466,72.9000899,19.0774884,2018-02-13,17:06:33.000Z
467,72.9000899,19.0774884,2018-02-13,17:06:33.000Z
472,72.9000899,19.0774884,2018-02-13,17:06:33.000Z
473,72.9000899,19.0774884,2018-02-13,17:06:33.000Z
474,72.9000899,19.0774884,2018-02-13,17:06:33.000Z
478,72.9000899,19.0774884,2018-02-14,07:56:32.880Z
479,72.9000899,19.0774884,2018-02-14,07:56:32.880Z
480,72.9000899,19.0774884,2018-02-14,07:56:32.880Z
484,72.8998221,19.0730847,2018-02-14,15:13:13.917Z
485,72.8998221,19.0730847,2018-02-14,15:13:13.917Z
486,72.8998221,19.0730847,2018-02-14,15:13:13.917Z
490,72.8995453,19.0735074,2018-02-14,16:58:23.089Z
491,72.8995453,19.0735074,2018-02-14,16:58:23.089Z
492,72.8995453,19.0735074,2018-02-14,16:58:23.089Z
496,72.9000899,19.0774884,2018-02-14,17:17:52.852Z
497,72.9000899,19.0774884,2018-02-14,17:17:52.852Z
498,72.9000899,19.0774884,2018-02-14,17:17:52.852Z
503,72.9000899,19.0774884,2018-02-14,17:17:52.852Z
504,72.9000899,19.0774884,2018-02-14,17:17:52.852Z
505,72.9000899,19.0774884,2018-02-14,17:17:52.852Z
515,72.871043,19.046146,2018-02-15,05:22:32.543Z
516,72.871043,19.046146,2018-02-15,05:22:32.543Z
517,72.871043,19.046146,2018-02-15,05:22:32.543Z
521,72.8762862,19.0493833,2018-02-15,08:33:23.808Z
522,72.8762862,19.0493833,2018-02-15,08:33:23.808Z
523,72.8762862,19.0493833,2018-02-15,08:33:23.808Z
530,72.9000899,19.0774884,2018-02-15,09:25:46.252Z
531,72.9000899,19.0774884,2018-02-15,09:25:46.252Z
532,72.9000899,19.0774884,2018-02-15,09:25:46.252Z
536,72.8998221,19.0730847,2018-02-15,15:55:28.707Z
537,72.8998221,19.0730847,2018-02-15,15:55:28.707Z
538,72.8998221,19.0730847,2018-02-15,15:55:28.707Z
542,72.9000899,19.0774884,2018-02-15,17:08:54.826Z
543,72.9000899,19.0774884,2018-02-15,17:08:54.826Z
544,72.9000899,19.0774884,2018-02-15,17:08:54.826Z
549,72.9000899,19.0774884,2018-02-15,17:08:54.826Z
550,72.9000899,19.0774884,2018-02-15,17:08:54.826Z
551,72.9000899,19.0774884,2018-02-15,17:08:54.826Z
558,72.871043,19.046146,2018-02-16,03:31:30.756Z
559,72.871043,19.046146,2018-02-16,03:31:30.756Z
560,72.871043,19.046146,2018-02-16,03:31:30.756Z
564,72.871043,19.046146,2018-02-16,05:39:52.451Z
565,72.871043,19.046146,2018-02-16,05:39:52.451Z
566,72.871043,19.046146,2018-02-16,05:39:52.451Z
573,72.9000899,19.0774884,2018-02-16,09:06:21.454Z
574,72.9000899,19.0774884,2018-02-16,09:06:21.454Z
575,72.9000899,19.0774884,2018-02-16,09:06:21.454Z
579,72.8978032,19.0728088,2018-02-16,10:47:22.458Z
580,72.8978032,19.0728088,2018-02-16,10:47:22.458Z
581,72.8978032,19.0728088,2018-02-16,10:47:22.458Z
585,72.9000899,19.0774884,2018-02-16,12:09:24.000Z
586,72.9000899,19.0774884,2018-02-16,12:09:24.000Z
587,72.9000899,19.0774884,2018-02-16,12:09:24.000Z
591,72.8998221,19.0730847,2018-02-16,15:28:35.557Z
592,72.8998221,19.0730847,2018-02-16,15:28:35.557Z
593,72.8998221,19.0730847,2018-02-16,15:28:35.557Z
597,72.9000899,19.0774884,2018-02-16,17:07:49.698Z
598,72.9000899,19.0774884,2018-02-16,17:07:49.698Z
599,72.9000899,19.0774884,2018-02-16,17:07:49.698Z
604,72.9000899,19.0774884,2018-02-16,17:07:49.698Z
605,72.9000899,19.0774884,2018-02-16,17:07:49.698Z
606,72.9000899,19.0774884,2018-02-16,17:07:49.698Z
610,72.871043,19.046146,2018-02-17,03:37:48.493Z
611,72.871043,19.046146,2018-02-17,03:37:48.493Z
612,72.871043,19.046146,2018-02-17,03:37:48.493Z
616,72.8752939,19.0494462,2018-02-17,05:26:56.000Z
617,72.8752939,19.0494462,2018-02-17,05:26:56.000Z
618,72.8752939,19.0494462,2018-02-17,05:26:56.000Z
622,72.871043,19.046146,2018-02-17,06:17:54.708Z
623,72.871043,19.046146,2018-02-17,06:17:54.708Z
624,72.871043,19.046146,2018-02-17,06:17:54.708Z
628,72.8762862,19.0493833,2018-02-17,08:13:29.657Z
629,72.8762862,19.0493833,2018-02-17,08:13:29.657Z
630,72.8762862,19.0493833,2018-02-17,08:13:29.657Z
634,72.871043,19.046146,2018-02-17,08:35:52.542Z
635,72.871043,19.046146,2018-02-17,08:35:52.542Z
636,72.871043,19.046146,2018-02-17,08:35:52.542Z
640,72.9000899,19.0774884,2018-02-17,12:56:43.401Z
641,72.9000899,19.0774884,2018-02-17,12:56:43.401Z
642,72.9000899,19.0774884,2018-02-17,12:56:43.401Z
646,72.8998221,19.0730847,2018-02-17,15:25:33.606Z
647,72.8998221,19.0730847,2018-02-17,15:25:33.606Z
648,72.8998221,19.0730847,2018-02-17,15:25:33.606Z
652,72.8995788,19.052869299999998,2018-02-17,16:09:43.008Z
653,72.8995788,19.052869299999998,2018-02-17,16:09:43.008Z
654,72.8995788,19.052869299999998,2018-02-17,16:09:43.008Z
658,72.9000899,19.0774884,2018-02-17,17:10:27.399Z
659,72.9000899,19.0774884,2018-02-17,17:10:27.399Z
660,72.9000899,19.0774884,2018-02-17,17:10:27.399Z
665,72.9000899,19.0774884,2018-02-17,17:10:27.399Z
666,72.9000899,19.0774884,2018-02-17,17:10:27.399Z
667,72.9000899,19.0774884,2018-02-17,17:10:27.399Z
671,72.8729633,19.0479898,2018-02-18,07:19:19.850Z
672,72.8729633,19.0479898,2018-02-18,07:19:19.850Z
673,72.8729633,19.0479898,2018-02-18,07:19:19.850Z
677,72.871043,19.046146,2018-02-18,07:31:38.214Z
678,72.871043,19.046146,2018-02-18,07:31:38.214Z
679,72.871043,19.046146,2018-02-18,07:31:38.214Z
686,72.9129845,19.0867654,2018-02-18,09:19:42.369Z
687,72.9129845,19.0867654,2018-02-18,09:19:42.369Z
688,72.9129845,19.0867654,2018-02-18,09:19:42.369Z
692,72.8655789,19.042977399999998,2018-02-18,10:55:18.339Z
693,72.8655789,19.042977399999998,2018-02-18,10:55:18.339Z
694,72.8655789,19.042977399999998,2018-02-18,10:55:18.339Z
698,72.9000899,19.0774884,2018-02-18,11:25:59.820Z
699,72.9000899,19.0774884,2018-02-18,11:25:59.820Z
700,72.9000899,19.0774884,2018-02-18,11:25:59.820Z
704,72.8978032,19.0728088,2018-02-18,15:11:32.399Z
705,72.8978032,19.0728088,2018-02-18,15:11:32.399Z
706,72.8978032,19.0728088,2018-02-18,15:11:32.399Z
710,72.9000899,19.0774884,2018-02-18,16:37:31.581Z
711,72.9000899,19.0774884,2018-02-18,16:37:31.581Z
712,72.9000899,19.0774884,2018-02-18,16:37:31.581Z
717,72.9000899,19.0774884,2018-02-18,16:37:31.581Z
718,72.9000899,19.0774884,2018-02-18,16:37:31.581Z
719,72.9000899,19.0774884,2018-02-18,16:37:31.581Z
723,72.871043,19.046146,2018-02-19,05:31:41.450Z
724,72.871043,19.046146,2018-02-19,05:31:41.450Z
725,72.871043,19.046146,2018-02-19,05:31:41.450Z
729,72.86484229999999,19.0441298,2018-02-19,13:03:11.519Z
730,72.86484229999999,19.0441298,2018-02-19,13:03:11.519Z
731,72.86484229999999,19.0441298,2018-02-19,13:03:11.519Z
735,72.8995453,19.0735074,2018-02-19,14:04:21.000Z
736,72.8995453,19.0735074,2018-02-19,14:04:21.000Z
737,72.8995453,19.0735074,2018-02-19,14:04:21.000Z
747,72.9000899,19.0774884,2018-02-19,15:38:08.774Z
748,72.9000899,19.0774884,2018-02-19,15:38:08.774Z
749,72.9000899,19.0774884,2018-02-19,15:38:08.774Z
754,72.9000899,19.0774884,2018-02-19,15:38:08.774Z
755,72.9000899,19.0774884,2018-02-19,15:38:08.774Z
756,72.9000899,19.0774884,2018-02-19,15:38:08.774Z
760,72.9000899,19.0774884,2018-02-20,01:46:11.279Z
761,72.9000899,19.0774884,2018-02-20,01:46:11.279Z
762,72.9000899,19.0774884,2018-02-20,01:46:11.279Z
766,72.871043,19.046146,2018-02-20,05:15:17.466Z
767,72.871043,19.046146,2018-02-20,05:15:17.466Z
768,72.871043,19.046146,2018-02-20,05:15:17.466Z
772,72.8729633,19.0479898,2018-02-20,07:12:51.503Z
773,72.8729633,19.0479898,2018-02-20,07:12:51.503Z
774,72.8729633,19.0479898,2018-02-20,07:12:51.503Z
778,72.871043,19.046146,2018-02-20,09:30:01.050Z
779,72.871043,19.046146,2018-02-20,09:30:01.050Z
780,72.871043,19.046146,2018-02-20,09:30:01.050Z
784,72.871043,19.046146,2018-02-20,12:47:32.614Z
785,72.871043,19.046146,2018-02-20,12:47:32.614Z
786,72.871043,19.046146,2018-02-20,12:47:32.614Z
790,72.8762862,19.0493833,2018-02-20,13:53:20.494Z
791,72.8762862,19.0493833,2018-02-20,13:53:20.494Z
792,72.8762862,19.0493833,2018-02-20,13:53:20.494Z
796,72.89326919999999,19.0668036,2018-02-20,14:29:31.561Z
797,72.89326919999999,19.0668036,2018-02-20,14:29:31.561Z
798,72.89326919999999,19.0668036,2018-02-20,14:29:31.561Z
802,72.9000899,19.0774884,2018-02-20,15:16:29.442Z
803,72.9000899,19.0774884,2018-02-20,15:16:29.442Z
804,72.9000899,19.0774884,2018-02-20,15:16:29.442Z
808,72.8998221,19.0730847,2018-02-20,15:56:58.861Z
809,72.8998221,19.0730847,2018-02-20,15:56:58.861Z
810,72.8998221,19.0730847,2018-02-20,15:56:58.861Z
814,72.9000899,19.0774884,2018-02-20,17:12:09.263Z
815,72.9000899,19.0774884,2018-02-20,17:12:09.263Z
816,72.9000899,19.0774884,2018-02-20,17:12:09.263Z
821,72.9000899,19.0774884,2018-02-20,17:12:09.263Z
822,72.9000899,19.0774884,2018-02-20,17:12:09.263Z
823,72.9000899,19.0774884,2018-02-20,17:12:09.263Z
830,72.8748609,19.047134,2018-02-21,05:52:01.366Z
831,72.8748609,19.047134,2018-02-21,05:52:01.366Z
832,72.8748609,19.047134,2018-02-21,05:52:01.366Z
836,72.8729633,19.0479898,2018-02-21,10:22:11.518Z
837,72.8729633,19.0479898,2018-02-21,10:22:11.518Z
838,72.8729633,19.0479898,2018-02-21,10:22:11.518Z
842,72.871043,19.046146,2018-02-21,11:09:38.949Z
843,72.871043,19.046146,2018-02-21,11:09:38.949Z
844,72.871043,19.046146,2018-02-21,11:09:38.949Z
851,72.9129845,19.0867654,2018-02-21,14:59:48.531Z
852,72.9129845,19.0867654,2018-02-21,14:59:48.531Z
853,72.9129845,19.0867654,2018-02-21,14:59:48.531Z
857,72.8998221,19.0730847,2018-02-21,16:01:56.941Z
858,72.8998221,19.0730847,2018-02-21,16:01:56.941Z
859,72.8998221,19.0730847,2018-02-21,16:01:56.941Z
863,72.9000899,19.0774884,2018-02-21,17:16:36.916Z
864,72.9000899,19.0774884,2018-02-21,17:16:36.916Z
865,72.9000899,19.0774884,2018-02-21,17:16:36.916Z
870,72.9000899,19.0774884,2018-02-21,17:16:36.916Z
871,72.9000899,19.0774884,2018-02-21,17:16:36.916Z
872,72.9000899,19.0774884,2018-02-21,17:16:36.916Z
876,72.871043,19.046146,2018-02-22,03:47:40.349Z
877,72.871043,19.046146,2018-02-22,03:47:40.349Z
878,72.871043,19.046146,2018-02-22,03:47:40.349Z
885,72.871043,19.046146,2018-02-22,12:44:10.709Z
886,72.871043,19.046146,2018-02-22,12:44:10.709Z
887,72.871043,19.046146,2018-02-22,12:44:10.709Z
891,72.871043,19.046146,2018-02-22,13:13:24.492Z
892,72.871043,19.046146,2018-02-22,13:13:24.492Z
893,72.871043,19.046146,2018-02-22,13:13:24.492Z
897,72.86484229999999,19.0441298,2018-02-22,13:46:12.790Z
898,72.86484229999999,19.0441298,2018-02-22,13:46:12.790Z
899,72.86484229999999,19.0441298,2018-02-22,13:46:12.790Z
903,72.9000899,19.0774884,2018-02-22,15:10:35.918Z
904,72.9000899,19.0774884,2018-02-22,15:10:35.918Z
905,72.9000899,19.0774884,2018-02-22,15:10:35.918Z
909,72.8998221,19.0730847,2018-02-22,15:47:06.275Z
910,72.8998221,19.0730847,2018-02-22,15:47:06.275Z
911,72.8998221,19.0730847,2018-02-22,15:47:06.275Z
915,72.9000899,19.0774884,2018-02-22,17:11:50.352Z
916,72.9000899,19.0774884,2018-02-22,17:11:50.352Z
917,72.9000899,19.0774884,2018-02-22,17:11:50.352Z
